ID;Data;Provenienza;URL;Esito;Categorie;Dominio;Creato;Aggiornato;Scadenza;Nome del registrante;Organizzazione registrante;Citt� e/o regione del registrante;Nome Registrar;Email;Numero di Malware Trovati;;;;Tipologia di Malware;Famiglie del Malware;Dominio;FilePath;IP
1;2021-06-11;c.n.c.p.o.;https://www.zara.com/it/it/bambini-bambina-vestiti-l360.html;Corretto;Fashion / Cosmetics / Jewellery: This category contains Web sites in the area of fashion, cosmetics, jewellery, perfume, fashion models and model agencies.;zara.com;29-05-1997;18-08-2020;28-05-2025;REDACTED FOR PRIVACY;Industria de Diseno Textil, S.A. (INDITEX, S.A.);REDACTED FOR PRIVACY, A Coruna;NOM-IQ Ltd dba Com Laude;['abuse@comlaude.com', 'zara.com-Registrant@anonymised.email', 'zara.com-Admin@anonymised.email', 'zara.com-Tech@anonymised.email'];9;;;;############;############;############;############;############
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;Doc_6646916184_Blocking transaction .pdf.zip;175.143.46.61
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;Subsidize proposed schedule .zip;86.86.236.169
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;orderFay Flat.zip;208.95.92.123
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;Fax-7961576.zip;200.125.234.3
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;nullfication_notification_document.zip;73.6.155.79
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;alert_details.zip;85.102.10.134
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;club.zip;91.117.124.38
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;administrador- #48790502.zip;164.77.139.219
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];zara.com;administrador- #82003290.zip;164.77.139.219
2;2021-06-11;c.n.c.p.o.;https://www.etsy.com/it/c/clothing/girls-clothing/swimwear;Corretto;Search Engines / Web Catalogues / Portals: This category contains search engines, Web catalogues and Web portals. Dating sites, Social Networking sites and Business Networking sites are not listed here but in their own categories.;etsy.com;05-02-2004;05-01-2021;05-02-2023;None;Etsy, Inc.;None, NY;MarkMonitor, Inc.;['abusecomplaints@markmonitor.com', 'whoisrequest@markmonitor.com'];9;;;;############;############;############;############;############
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;Copia r�pida del banco.zip;104.200.144.132
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;Bank-Miss Malika Heathcote_564.074.0271_client-24290859051342397266.zip;117.102.119.34
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;Fax-9971806.zip;201.230.73.25
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;Scan#672257180.zip;50.240.119.157
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;Scan#123870579.zip;50.240.119.157
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;fax 495424783.zip;70.29.200.102
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;vswZCwJT.zip;109.0.139.51
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;abrogation_invoice_details.zip;173.189.26.140
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];etsy.com;invoice id=UkUMILi9.zip;173.161.13.130
3;2021-06-11;c.n.c.p.o.;https://it.pornhub.com/;Corretto;Pornography: Includes Web sites containing the depiction of sexually explicit activities and erotic content unsuitable to persons under the age of 18.;pornhub.com;31-10-2000;26-02-2019;30-10-2021;Whois Privacy;Whois Privacy (enumDNS dba);Root-sur-Syre, None;Eurodns S.A.;['legal@eurodns.com', 'legalservices@eurodns.com', '77423009d240d737_o@whoisprivacy.com', '77423009d240d737_a@whoisprivacy.com', '77423009d240d737_t@whoisprivacy.com'];6;;;;############;############;############;############;############
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];pornhub.com;splurge fastener hillock.zip;87.223.191.228
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];pornhub.com;813205-.zip;80.193.220.10
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];pornhub.com;Scan#851270827.zip;189.203.101.224
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];pornhub.com;skge9bQ6Bji33.zip;125.254.66.94
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];pornhub.com;JB0eU063jL7V6.zip;125.254.66.94
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];pornhub.com;wPhxiWb4.zip;198.245.215.4
4;2021-06-11;c.n.c.p.o.;https://it.redtube.com/;Corretto;Social Media: Includes Web sites that enable users to view, search for, rate and publish media files and streams.;redtube.com;07-01-2006;01-01-2021;06-01-2022;Whois Privacy;Whois Privacy (enumDNS dba);Root-sur-Syre, None;Eurodns S.A.;['legal@eurodns.com', 'legalservices@eurodns.com', '33aaec72f3718ac2_o@whoisprivacy.com', '33aaec72f3718ac2_a@whoisprivacy.com', '33aaec72f3718ac2_t@whoisprivacy.com'];0;;;;############;############;############;############;############
5;2021-06-11;c.n.c.p.o.;https://it.xhamster.com/;Corretto;Pornography: Includes Web sites containing the depiction of sexually explicit activities and erotic content unsuitable to persons under the age of 18.;xhamster.com;02-04-2007;03-03-2021;02-04-2022;Redacted for Privacy Purposes;Redacted for Privacy Purposes;Redacted for Privacy Purposes, Limassol;NAMECHEAP INC;abuse@namecheap.com;192;;;;############;############;############;############;############
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;P_awopuobi9561.zip;87.158.194.93
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;details_outose.zip;154.101.95.1
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;ATM_exaepajaj9662.zip;117.220.8.141
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_hueningerd.zip;27.4.203.27
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_angstonyhceognh.zip;182.232.164.241
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_gonib2065.zip;191.222.98.233
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;INVOICE_degivavy9518.zip;187.230.98.150
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_hensen.zip;39.42.160.216
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_toflame.zip;223.176.151.89
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_am148.netis.net.r.zip;190.9.217.225
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_uzeequxoo4937.zip;179.25.52.189
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;INVOICE_arteriole.zip;116.73.139.121
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;INVOICE_culver.zip;181.179.132.165
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;receipt_koidenn.zip;187.149.221.140
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;lastpayment_iamaspectical.zip;103.247.15.144
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;transfer_josef.tiefenbach.zip;177.249.94.140
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;logs_fuzi.zip;94.79.88.99
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;order_lloyd_larsonmy.zip;116.110.37.43
