ID;TAG NAME;URL;NOME FILE;NOME ATTUALE;TESTO ALT;HREF;TESTO NEL TAG;FORMATO;STATUS
1;li;;;;;;TUTA IN SPUGNA CON NUMERO15,95 EUR;;
2;a;;;;;https://www.zara.com/it/it/tuta-in-spugna-con-numero-p09006770.html;;;
3;a;;;;;https://www.zara.com/it/it/tuta-in-spugna-con-numero-p09006770.html;TUTA IN SPUGNA CON NUMERO;;
4;span;;;;;;TUTA IN SPUGNA CON NUMERO;;
5;a;;;;;https://www.zara.com/it/it/vestito-plissettato-sporty-p01080339.html;;;
6;a;;;;;https://www.zara.com/it/it/vestito-plissettato-sporty-p01080339.html;VESTITO PLISSETTATO SPORTY;;
7;li;;;;;;VESTITO CHEMISIER A FIORI22,95 EUR;;
8;a;;;;;https://www.zara.com/it/it/vestito-chemisier-a-fiori-p04479600.html;;;
9;a;;;;;https://www.zara.com/it/it/vestito-chemisier-a-fiori-p04479600.html;VESTITO CHEMISIER A FIORI;;
10;span;;;;;;VESTITO CHEMISIER A FIORI;;
11;a;;;;;https://www.zara.com/it/it/kids-girl-knitwear-dresses-trousers-l3754.html;Vestiti | Pantaloni;;
12;a;;;;;https://www.zara.com/it/it/kids-girl-knitwear-basics-l4364.html;BASICS;;
13;li;;;;;;SPORTSSPORTY IISPORTY I;;
14;a;;;;;https://www.zara.com/it/it/bambini-bambina-sportivo-l1588.html;SPORTS;;
15;span;;;;;;SPORTS;;
16;ul;;;;;;SPORTY IISPORTY I;;
17;a;;;;;https://www.zara.com/it/it/kids-babygirl-accesories-hair-l4074.html;Accessori per capelli;;
18;a;;;;;https://www.zara.com/it/it/bambini-bambina-neonata-accessori-altro-l93.html;ACCESSORI;;
19;a;;;;;https://www.zara.com/it/it/kids-babygirl-accessories-jewelry-l4020.html;Bigiotteria;;
20;li;;;;;;UNDERWEAR E PIGIAMI;;
21;a;;;;;https://www.zara.com/it/it/vestito-stampato-tropicale-p02492630.html;;;
22;a;;;;;https://www.zara.com/it/it/vestito-stampato-tropicale-p02492630.html;VESTITO STAMPATO TROPICALE;;
23;span;;;;;;VESTITO STAMPATO TROPICALE;;
24;li;;;;;;VESTITO MIDI A FIORI25,95 EUR;;
25;a;;;;;https://www.zara.com/it/it/vestito-midi-a-fiori-p04786680.html;;;
26;a;;;;;https://www.zara.com/it/it/vestito-midi-a-fiori-p04786680.html;VESTITO MIDI A FIORI;;
27;span;;;;;;VESTITO MIDI A FIORI;;
28;li;;;;;;VESTITO CHEMISIER A QUADRETTI22,95 EUR;;
29;a;;;;;https://www.zara.com/it/it/vestito-chemisier-a-quadretti-p01149354.html;;;
30;;https://www.zara.com/it/it/bambini-bambina-vestiti-l360.html/static/media/NeueHelveticaforZara-Bold.6ee5226d.ttf;NeueHelveticaforZara-Bold.6ee5226d.ttf;;;;;;403
31;li;;;;;;Maglie;;
32;a;;;;;https://www.zara.com/it/it/donna-maglieria-maglioni-l1165.html;Maglie;;
33;li;;;;;;Gilet;;
34;a;;;;;https://www.zara.com/it/it/woman-knitwear-vest-l3871.html;Gilet;;
35;a;;;;;https://www.zara.com/it/it/donna-maglieria-basic-l1153.html;Basic;;
36;a;;;;;https://www.zara.com/it/it/bambini-bambina-denim-giubbotti-l1724.html;Vedi Tutto;;
37;li;;;;;;SLIM;;
38;a;;;;;https://www.zara.com/it/it/kids-babygirl-jeans-slim-l4249.html;SLIM;;
39;a;;;;;https://www.zara.com/it/it/kids-babygirl-jeans-paperbag-l4250.html;PAPERBAG;;
40;li;;;;;;BAGGY;;
41;a;;;;;https://www.zara.com/it/it/vestito-con-inserti-e-motivi-ricamati-p05770700.html;;;
42;a;;;;;https://www.zara.com/it/it/vestito-con-inserti-e-motivi-ricamati-p05770700.html;VESTITO CON INSERTI E MOTIVI RICAMATI;;
43;span;;;;;;VESTITO CON INSERTI E MOTIVI RICAMATI;;
44;li;;;;;;TUTA A FIORI MISTO LINO22,95 EURTUTA A FIORI MISTO LINO22,95 EUR;;
45;li;;;;;;TUTA A FIORI MISTO LINO22,95 EUR;;
46;a;;;;;https://www.zara.com/it/it/tuta-a-fiori-misto-lino-p01355447.html;;;
47;a;;;;;https://www.zara.com/it/it/tuta-a-fiori-misto-lino-p01355447.html;TUTA A FIORI MISTO LINO;;
48;span;;;;;;TUTA A FIORI MISTO LINO;;
49;li;;;;;;VESTITO LINGERIE CON ELASTICI COMBINATO22,95 EUR;;
50;a;;;;;https://www.zara.com/it/it/vestito-lingerie-con-elastici-combinato-p04479643.html;;;
51;div;;;;;;Apply Cancel;;
52;button;;;;;;Apply;;
53;button;;;;;;Cancel;;
54;div;;;;;;Conferma le mie scelte Consenti tutti;;
55;button;;;;;;Conferma le mie scelte;;
56;div;;;;;;Consenti tutti;;
57;a;;;;;https://onetrust.com/poweredbyonetrust;;;
58;div;;;;;;Utilizziamo cookie propri e di terzi per finalità analitiche e per mostrare pubblicità collegata alle preferenze degli utenti a partire dalle loro abitudini di navigazione e dal loro profilo. È possibile configurare o rifiutare i cookie facendo clic su “Configurazione dei cookie”. Inoltre, gli utenti possono accettare tutti i cookie premendo il pulsante “Accetta tutti i cookie”. Per ulteriori informazioni, è possibile consultare la nostraPolitica sull’utilizzo dei CookieImpostazioni cookie Accetta tutti i cookie;;
59;div;;;;;;Utilizziamo cookie propri e di terzi per finalità analitiche e per mostrare pubblicità collegata alle preferenze degli utenti a partire dalle loro abitudini di navigazione e dal loro profilo. È possibile configurare o rifiutare i cookie facendo clic su “Configurazione dei cookie”. Inoltre, gli utenti possono accettare tutti i cookie premendo il pulsante “Accetta tutti i cookie”. Per ulteriori informazioni, è possibile consultare la nostraPolitica sull’utilizzo dei Cookie;;
60;a;;;;;https://static.zara.net/static/pdfs/ZARA/cookies-policy/cookies-policy-it_IT-20201028.pdf;Politica sull’utilizzo dei Cookie;;
61;li;;;;;;VESTITO FELPA SCRITTA19,95 EUR;;
62;a;;;;;https://www.zara.com/it/it/vestito-felpa-scritta-p09006601.html;;;
63;a;;;;;https://www.zara.com/it/it/woman-editorial-8-mkt1461.html;";)";;
64;li;;;;;;PURE;;
65;a;;;;;https://www.zara.com/it/it/woman-editorial-9-mkt1471.html;PURE;;
66;li;;;;;;Braccialetti;;
67;a;;;;;https://www.zara.com/it/it/woman-accessories-bracelets-l4506.html;Braccialetti;;
68;li;;;;;;Orecchini;;
69;a;;;;;https://www.zara.com/it/it/woman-accessories-earrings-l4507.html;Orecchini;;
70;a;;;;;https://www.zara.com/it/it/woman-accessories-necklaces-l4508.html;;;
71;li;;;;;;Foulard;;
72;li;;;;;;Vedi tutto;;
73;div;;;;;;Cookie di pubblicità comportamentale  Cookie di pubblicità comportamentale InattiviQuesti cookie possono trovarsi su tutta la Piattaforma, inseriti dai nostri partner pubblicitari. Tali soggetti terzi possono utilizzarli per creare un profilo degli interessi degli utenti e mostrare loro annunci pertinenti su altri siti. Se l’utente non autorizza l’uso di questi cookie, potrà ricevere meno pubblicità mirata.Dettagli dei cookie‎;;
74;div;;;;;;Cookie di pubblicità comportamentale  Cookie di pubblicità comportamentale Inattivi;;
75;div;;;;;;Cookie di pubblicità comportamentale Inattivi;;
76;script;https://www.googletagmanager.com/gtag/js?id=G-D8SW45BC2Z&l=analyticsDataLayer&cx=c;js?id=G-D8SW45BC2Z&l=analyticsDataLayer&cx=c;;;;;.jpg;200
77;li;;;;;;TUTA A POIS25,95 EURTUTA A POIS25,95 EUR;;
78;li;;;;;;TUTA A POIS25,95 EUR;;
79;a;;;;;https://www.zara.com/it/it/tuta-a-pois-p01168340.html;;;
80;a;;;;;https://www.zara.com/it/it/tuta-a-pois-p01168340.html;TUTA A POIS;;
81;span;;;;;;TUTA A POIS;;
82;li;;;;;;VESTITO IN PLUMETIS BRILLANTE22,95 EURVESTITO IN PLUMETIS BRILLANTE22,95 EUR;;
83;li;;;;;;VESTITO IN PLUMETIS BRILLANTE22,95 EUR;;
84;a;;;;;https://www.zara.com/it/it/vestito-in-plumetis-brillante-p06254606.html;;;
85;a;;;;;https://www.zara.com/it/it/vestito-in-plumetis-brillante-p06254606.html;VESTITO IN PLUMETIS BRILLANTE;;
86;span;;;;;;VESTITO IN PLUMETIS BRILLANTE;;
87;;https://www.zara.com/it/it/bambini-bambina-vestiti-l360.html/static/media/Apercu-bold.88011198.eot?#iefix;Apercu-bold.88011198.eot?#iefix;;;;;;403
88;img;https://static.zara.net/photos///2021/V/0/3/p/1315/355/286/102/w/222/1315355286_1_1_1.jpg?ts=1619772675182;1315355286_1_1_1.jpg?ts=1619772675182;;TUTA CON STRUTTURA CUT OUT;;;.jpg;200
89;a;;;;;https://www.zara.com/it/it/bambini-bambina-neonata-intimo-l167.html;UNDERWEAR E PIGIAMI;;
90;ul;;;;;;Vedi TuttoPigiamiIntimo | BodyCalzini E Calze;;
91;a;;;;;https://www.zara.com/it/it/bambini-bambina-neonata-intimo-l167.html;Vedi Tutto;;
92;a;;;;;https://www.zara.com/it/it/bambini-bambina-neonata-intimo-pigiama-l169.html;Pigiami;;
93;li;;;;;;Midi;;
94;a;;;;;https://www.zara.com/it/it/donna-vestiti-midi-l1081.html;Midi;;
95;li;;;;;;Maxi;;
96;a;;;;;https://www.zara.com/it/it/donna-vestiti-maxi-l1079.html;Maxi;;
97;li;;;;;;Senza Maniche;;
98;a;;;;;https://www.zara.com/it/it/donna-vestiti-senza-maniche-l4203.html;Senza Maniche;;
99;;https://www.zara.com/it/it/bambini-bambina-vestiti-l360.html/static/media/Apercu.ea2fc91b.eot;Apercu.ea2fc91b.eot;;;;;;403
